x_mm,initial,final
0.0,70.0,70.0
0.002,0.0,68.7857076340457
0.004,0.0,67.57147263138083
0.006000000000000001,0.0,66.35735027446954
0.008,0.0,65.14339541567455
0.01,0.0,63.92966226174088
0.012000000000000002,0.0,62.71620416092364
0.014000000000000002,0.0,61.50307339361191
0.016,0.0,60.29032096728809
0.018000000000000002,0.0,59.07799641664723
0.02,0.0,57.86614760968276
0.022000000000000002,0.0,56.65482056052382
0.024000000000000004,0.0,55.444059249786434
0.026000000000000002,0.0,54.23390545317429
0.028000000000000004,0.0,53.02439857903717
0.030000000000000002,0.0,51.815575515564646
0.032,0.0,50.60747048826124
0.034,0.0,49.40011492831615
0.036000000000000004,0.0,48.1935373524465
0.038,0.0,46.987763254759535
0.04,0.0,45.78281501114461
0.042,0.0,44.578711796673154
0.044000000000000004,0.0,43.37546951645386
0.046,0.0,42.17310075036228
0.04800000000000001,0.0,40.97161471204039
0.05,0.0,39.77101722254443
0.052000000000000005,0.0,38.57131069901065
0.054,0.0,37.37249415871128
0.05600000000000001,0.0,36.17456323889144
0.058,0.0,34.97751023281709
0.060000000000000005,0.0,33.781324142531005
0.062,0.0,32.58599074891911
0.064,0.0,31.39149269984585
0.06600000000000002,0.0,30.19780961734382
0.068,0.0,29.004918225166783
0.07,0.0,27.81279249847422
0.07200000000000001,0.0,26.62140383806635
0.07400000000000001,0.0,25.43072127251238
0.076,0.0,24.240711692835298
0.07800000000000001,0.0,23.05134012632022
0.08,0.0,21.862570058788382
0.082,0.0,20.674363818779582
0.084,0.0,19.486683043240006
0.08600000000000001,0.0,18.29948925371506
0.08800000000000001,0.0,17.112744586703865
0.09000000000000001,0.0,15.92641274520381
0.092,0.0,14.740460276699288
0.09400000000000001,0.0,13.554858347188064
0.09600000000000002,0.0,12.3695852926943
0.09800000000000002,0.0,11.184630431492867
0.1,10.0,10.0
